component,mode,path,kind,exists,size_bytes,row_count,symbol_count,last_seen_wib,age_hours,min_rows,min_symbols,max_age_hours,parse_error_count,maturity_state,recommendation,reasons
score_v2_recalc_shadow,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/score_v2_recalc_shadow_v1.jsonl,jsonl,True,885204,1060,16,2026-06-25 00:42:57 WIB,0.1509,100,10,6,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
ml_dataset_feature_join,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/ml_dataset_v3_feature_join.jsonl,jsonl,True,1549415,764,14,2026-06-25 00:48:32 WIB,0.058,100,10,6,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
forward_outcomes,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/forward_outcomes_v1.jsonl,jsonl,True,464340,500,16,2026-06-25 00:45:01 WIB,0.1166,50,8,48,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
pair_league_policy_snapshots,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/pair_league_policy_snapshots_v1.csv,csv,True,999001,2758,14,2026-06-25 00:34:35 WIB,0.2907,28,10,6,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
pair_policy_calibration_snapshots,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/pair_policy_calibration_snapshots_v1.csv,csv,True,990529,2758,14,2026-06-25 00:34:38 WIB,0.2902,14,10,6,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
orderbook_pricing_snapshots,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/orderbook_pricing_snapshots_v1.csv,csv,True,2810906,10878,14,2026-06-25 00:48:39 WIB,0.0574,56,10,2,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
orderbook_stability_snapshots,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/orderbook_stability_snapshots_v1.csv,csv,True,9055663,21588,14,2026-06-25 00:48:57 WIB,0.054,28,10,2,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
orderbook_shadow_guard_snapshots,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/orderbook_shadow_guard_snapshots_v1.csv,csv,True,2848004,10794,14,2026-06-25 00:48:58 WIB,0.0548,14,10,2,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
orderbook_shadow_guard_validation,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/logs/orderbook_shadow_guard_validation_snapshots_v1.csv,csv,True,3194570,10766,14,2026-06-25 00:49:01 WIB,0.055,14,10,2,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
latest_freqai_features,REPORT_ONLY,/home/ubuntu/ai-trading-vps-bot/state/features/latest_freqai_features_v1.json,json,True,23383,14,14,2026-06-25 00:48:42 WIB,0.0603,1,8,6,0,MATURE_ENOUGH_REPORT_ONLY,REPORT_ONLY_OK,"[""meets_minimum_dataset_thresholds""]"
